serial no.,Game,Game_Duration,Year,Month,Weekday,Name_Length,Genre_RPG,Genre_Horror,Genre_Action,Genre_Strategy,Genre_Puzzle,Genre_Adventure,Genre_Simulator,Is_Popular_Genre,Genre_4X strategy._False,Genre_4X strategy._True,Genre_Action RPG._False,Genre_Action RPG._True,Genre_Action‑adventure._False,Genre_Action‑adventure._True,Genre_FPS._False,Genre_FPS._True,Genre_Horror._False,Genre_Horror._True,Genre_Isometric RPG._False,Genre_Isometric RPG._True,Genre_Metroidvania._False,Genre_Metroidvania._True,Genre_Narrative adventure._False,Genre_Narrative adventure._True,Genre_Other_False,Genre_Other_True,Genre_Platformer._False,Genre_Platformer._True,Genre_Puzzle platformer._False,Genre_Puzzle platformer._True
0.05925925925925926,ABZU,0.4285714285714286,2019,9,3,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.061111111111111116,Conarium,0.4285714285714286,2019,9,3,0.05747126436781609,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.06296296296296296,Batman: Arkham Collection,0.4285714285714286,2019,9,3,0.2528735632183908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.06481481481481481,LEGO Batman Trilogy,0.4285714285714286,2019,9,3,0.1839080459770115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.06666666666666667,Everything,0.4285714285714286,2019,9,3,0.08045977011494253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.06851851851851852,Metro 2033 Redux,0.4285714285714286,2019,9,3,0.14942528735632182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.07037037037037037,Minit,0.4285714285714286,2019,10,3,0.022988505747126436,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.07222222222222222,Surviving Mars,0.4285714285714286,2019,10,3,0.12643678160919541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.07407407407407407,Observer,0.4285714285714286,2019,10,3,0.05747126436781609,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
0.07592592592592592,Layers of Fear,0.4285714285714286,2019,10,3,0.12643678160919541,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,False
